horse_id,horse_name,father,mother,grandfather,hair_color,farm
,スマートファントム,ハービンジャー,スマートアイリス,ディープインパクト,鹿,
,マルクパージュ,ハービンジャー,ディープストーリー,ディープインパクト,青鹿,
,ラミアストラーダ,エピファネイア,タカミツサクラ,ヨハネスブルグ,鹿,
,モズマーカッシン,シルバーステート,リュミエールゲラン,ロックオブジブラルタル,黒鹿,
,バックトゥザライト,シニスターミニスター,トリプルミッション,ハービンジャー,鹿,
,ギャレットルレーヴB,リオンディーズ,ハビトゥス,ファルブラヴ,鹿,
,スズノハマヤ,キンシャサノキセキ,シルヴァーカップ,アルムタワケル,黒鹿,
,キャビネットバトル,ダイワメジャー,ホワイトソックス,Scipion,鹿,
,タガノチェイス,ドレフォン,タガノバトラ,フレンチデピュティ,鹿,
,ナムラレナード,カレンブラックヒル,ナムラエルサ,マツリダゴッホ,黒鹿,
,オフィスバトル,キズナ,シェリレーヌ,Mineshaft,鹿,
,エペB,シャンハイボビー,サクラフルーレ,マンハッタンカフェ,黒鹿,
,ハクアイジュピター,ホッコータルマエ,マカロンドナンシー,ダンスインザダーク,黒鹿,
,ワイドレッジャドロ,モンテロッソ,メイプルロード,ジェニュイン,黒鹿,
,ランドフェニックス,マクフィ,マサノマリリン,キングカメハメハ,鹿,
,トーセンオリジン,ディープインパクト,トーセンブリリアン,ホワイトマズル,鹿,
,ザヴォーグ,ネオユニヴァース,ロッタ,ティンバーカントリー,栗,
,コズミックマインド,Into Mischief,Mystical Star,Ghostzapper,鹿,
,ファジュル,サトノアラジン,グリーンサンライズ,サッカーボーイ,鹿,
,リーガルマナー,ロードカナロア,エレガントマナー,シンボリクリスエス,鹿,
,イロエンピツ,アーネストリー,イロジカケ,クロフネ,黒鹿,
,ロードアヴニール,ドゥラメンテ,ヴィーヴル,ディープインパクト,鹿,
,アスクドゥポルテ,ハービンジャー,ジャジャウマガール,ハーツクライ,鹿,
,サトノドゥーチェ,ハービンジャー,シンフォニア,サクラバクシンオー,栗,
,ウォーターハウス,ロードカナロア,ショウナンパンドラ,ディープインパクト,黒鹿,
,トンジンチ,ドゥラメンテ,ワイドサファイア,アグネスタキオン,青鹿,
,エイシンテムジン,エイシンヒカリ,ダンスオンザルーフ,シンボリクリスエス,鹿,
,ヴァンビスタ,Justify,Vanquished,エンパイアメーカー,栗,
,フィルムアクトレス,スクリーンヒーロー,サマリーズ,ハードスパン,鹿,
,ベルリエゾン,キズナ,ベルワトリング,Dushyantor,黒鹿,
,アンノウンレディ,ルーラーシップ,マイネレーツェル,ステイゴールド,鹿,
,グレイコード,スクリーンヒーロー,バイナリーコード,ネオユニヴァース,栗,
,アイザックバローズ,ドゥラメンテ,カーリンホーク,Curlin,黒鹿,
,ランヴァル,ダノンバラード,ニシノマドカ,ジャングルポケット,鹿,
,ラムケイ,アメリカンペイトリオット,サマナケイ,Authorized,鹿,
,インヒズアイズ,Race Day,Lee Ann W,Mr. Greeley,芦,
,バトゥーキ,ラニ,サンバホイッスル,サウスヴィグラス,栗,
,インディケーション,ヴィクトワールピサ,ミコデイジーラブ,ハービンジャー,栗,
,エムズマインド,マインドユアビスケッツ,ピエナアプローズ,フジキセキ,栗,
,ハワイアンパレス,アジアエクスプレス,ハワイアンスマイル,キングカメハメハ,栗,
,ヤマニンリーリオ,シニスターミニスター,ヤマニンラレーヌ,ヤマニンセラフィム,鹿,
,テイエムフジッコ,ホッコータルマエ,シルバーキセキ,フジキセキ,鹿,
,メイショウピース,リオンディーズ,メイショウアリア,Hurricane Run,黒鹿,
